product,signal,label,label_basis,year,q_start,quarter_label
Muscarinic Receptor Antagonists,Angioedema and other allergic reactions,양성,mixed_reviewed,2008,October,October - December 2008
Orlistat (Xenical,Hepatotoxicity,양성,trunc_verified,2008,October,October - December 2008
Polyethylene glycol oral laxative (various trade names),Neuropsychiatric events,음성,pure_noaction,2008,October,October - December 2008
Raltegravir (Isentress),Psychiatric events,양성,pure_update,2008,October,October - December 2008
Selegiline (Emsam),Hypertension,음성,pure_noaction,2008,October,October - December 2008
Sumatriptan/naproxen (Treximet),Myocardial infarction,음성,mixed_reviewed,2008,October,October - December 2008
Testim),Adverse events from accidental exposure,양성,trunc_verified,2008,October,October - December 2008
Testosterone gel (Androgel,Adverse events from accidental exposure,양성,trunc_verified,2008,October,October - December 2008
Tisseel,Air embolism,양성,trunc_verified,2008,October,October - December 2008
Tolterodine tartrate (Detrol),Stevens-Johnson syndrome,음성,pure_noaction,2008,October,October - December 2008
Varenicline (Chantix),"Angioedema, serious skin reactions, visual impairment, accidental injury",양성,pure_update,2008,October,October - December 2008
Aliskiren (Tekturna,Angioedema requiring intubation,양성,trunc_verified,2009,April,April - June 2009
Antipsychotics,Agranulocytosis,양성,pure_update,2009,April,April - June 2009
Bumetanide (Bumex),"Serious skin reactions (Stevens-Johnson Syndrome, Toxic epidermal necrosis)",양성,pure_update,2009,April,April - June 2009
Cisplatin (Platinol),Leukoencephalopathy,음성,pure_noaction,2009,April,April - June 2009
Deferasirox (Exjade),Deaths,양성,trunc_verified,2009,April,April - June 2009
Gabapentin (Neurontin),Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS),양성,pure_update,2009,April,April - June 2009
Imatinib mesylate (Gleevec),Hearing disorders and hearing loss,음성,pure_noaction,2009,April,April - June 2009
Immunosuppressants (transplant),BK virus nephropathy,양성,oldformat_reviewed,2009,April,April - June 2009
Natalizumab (Tysabri),Herpes viral infections,음성,pure_noaction,2009,April,April - June 2009
Natalizumab (Tysabri),Pericarditis,음성,pure_noaction,2009,April,April - June 2009
Oseltamivir phosphate (Tamiflu),Hypothermia,양성,pure_update,2009,April,April - June 2009
Riluzole (Rilutek),Interstitial lung disease,양성,pure_update,2009,April,April - June 2009
Simvastatin (Zocor) and Diltiazem (Cardizem),Myopathy due to drug interaction,양성,trunc_verified,2009,April,April - June 2009
Tekturna HCT),Angioedema requiring intubation,양성,trunc_verified,2009,April,April - June 2009
Ticlopidine,Disseminated intravascular coagulopathy,음성,pure_noaction,2009,April,April - June 2009
Alpha interferon products,Pulmonary Hypertension,양성,oldformat_reviewed,2009,January,January - March 2009
Ceftriaxone (Rocephin),Hemolytic anemia,양성,oldformat_reviewed,2009,January,January - March 2009
Diclofenac epolamine patch (Flector),Hypersensitivity reactions,양성,pure_update,2009,January,January - March 2009
Didanosine (Videx),Portal hypertension,양성,pure_update,2009,January,January - March 2009
Entacapone (Comtan) and carbidopa/levodopa/entacapone (Stalevo),Colitis,양성,pure_update,2009,January,January - March 2009
Gadolinium-based contrast agents,Anaphylaxis,양성,trunc_verified,2009,January,January - March 2009
Iplex),Hypersensitivity reactions,양성,trunc_verified,2009,January,January - March 2009
Mecasermin products (Increlex,Hypersensitivity reactions,양성,trunc_verified,2009,January,January - March 2009
Methylnaltrexone (Relistor),Gastrointestinal perforation,양성,pure_update,2009,January,January - March 2009
Minocycline products(Minocin)(Solodyn),"Autoimmune disorders in pediatric patients, Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS)",양성,trunc_verified,2009,January,January - March 2009
Promethazine injection,Severe tissue injury including gangrene,양성,pure_update,2009,January,January - March 2009
Sunitinib (Sutent),Liver failure,양성,oldformat_reviewed,2009,January,January - March 2009
Tenofovir (Viread),Safety during pregnancy,음성,pure_noaction,2009,January,January - March 2009
Zoledronic acid (Reclast),Renal impairment,양성,oldformat_reviewed,2009,January,January - March 2009
Alvimopan (Entereg),Gastrointestinal perforation,양성,oldformat_reviewed,2009,July,July - September 2009
Angiotensin-converting enzyme (ACE) inhibitors,Angioedema (requiring intubation),음성,pure_noaction,2009,July,July - September 2009
Bendamustine (Treanda),Infusion site extravasation,양성,pure_update,2009,July,July - September 2009
Dexlansoprazole (Kapidex),Name confusion with Casodex,양성,oldformat_reviewed,2009,July,July - September 2009
Doripenem (Doribax),"Seizure events, Hepatic events, Thrombocytopenia, Serious skin reactions",음성,pure_noaction,2009,July,July - September 2009
Enoxaparin (Lovenox),"Catheter thrombosis, Splenic rupture",음성,pure_noaction,2009,July,July - September 2009
HMG-CoA reductase inhibitors “Statins”,Cognitive effects,양성,pure_update,2009,July,July - September 2009
Lamotrigine (Lamictal),"Central nervous system infection, Aseptic meningitis",양성,pure_update,2009,July,July - September 2009
Neuromuscular Blocking Agents,Anaphylactic reactions and potential for cross-reactivity,양성,trunc_verified,2009,July,July - September 2009
Sirolimus (Rapamune),Progressive multifocal leukoencephalopathy (PML),양성,oldformat_reviewed,2009,July,July - September 2009
Tumor Necrosis Factor (TNF) Blockers,Demyelinating neuropathy,양성,trunc_verified,2009,July,July - September 2009
Zonisamide (Zonegran),"Rhabdomyolysis, Pancreatitis",양성,pure_update,2009,July,July - September 2009
5-alpha reductase inhibitors Dutasteride,Male breast cancer,양성,mixed_reviewed,2009,October,October - December 2009
Clozapine (Clozaril,Hepatotoxicity,양성,pure_update,2009,October,October - December 2009
Corticosteroids (depot formulations),Serious neurologic events with epidural use,양성,trunc_verified,2009,October,October - December 2009
Fazaclo),Hepatotoxicity,양성,pure_update,2009,October,October - December 2009
Finasteride (Avodart,Male breast cancer,음성,mixed_reviewed,2009,October,October - December 2009
Ixabepilone (Ixempra Kit),Radiation recall,양성,pure_update,2009,October,October - December 2009
Leuprolide acetate (Lupron Depot),"Osteopenia, Thyroid gland disorder",양성,mixed_reviewed,2009,October,October - December 2009
Lopinavir and ritonavir (Kaletra),Hepatotoxicity with post-exposure prophylaxis (PEP) regimens,양성,oldformat_reviewed,2009,October,October - December 2009
Propecia,Male breast cancer,양성,mixed_reviewed,2009,October,October - December 2009
Proscar),Male breast cancer,양성,mixed_reviewed,2009,October,October - December 2009
Rasburicase (Elitek),Prolonged QT Syndrome,음성,pure_noaction,2009,October,October - December 2009
Clindamycin injection (Cleocin),Overdose due to labeling confusion/medication errors,양성,pure_update,2010,April,April - June 2010
Doxycycline products,"Stevens Johnson Syndrome, Toxic Epidermal Necrolysis, Erythema Multiforme",양성,trunc_verified,2010,April,April - June 2010
Dronedarone hydrochloride (Multaq),Torsade de Pointes,음성,pure_noaction,2010,April,April - June 2010
Etonogestrel implant (Implanon,Convulsions,양성,trunc_verified,2010,April,April - June 2010
Everolimus (Afinitor),Hepatitis B reactivation,양성,pure_update,2010,April,April - June 2010
Febuxostat (Uloric),Hypersensitivity,양성,pure_update,2010,April,April - June 2010
Ferumoxytol injection (Feraheme),Serious cardiac disorders,양성,pure_update,2010,April,April - June 2010
GnRH Agonists (Androgen Deprivation Therapy),"Hyperinsulinemia, Arterial thrombosis",양성,trunc_verified,2010,April,April - June 2010
Lanthanum carbonate (Fosrenol),Intestinal obstruction,양성,pure_update,2010,April,April - June 2010
Nexplanon),Convulsions,양성,trunc_verified,2010,April,April - June 2010
Proton Pump Inhibitors (PPIs),Hypomagnesemia,양성,pure_update,2010,April,April - June 2010
Saquinavir mesylate (Invirase),Prolonged QT and PR Syndromes,양성,trunc_verified,2010,April,April - June 2010
Simvastatin (Zocor),Muscle injury with 80mg dose,양성,trunc_verified,2010,April,April - June 2010
Tapentadol hydrochloride (Nucynta),"Convulsions, Hallucinations, Serotonin syndrome",양성,pure_update,2010,April,April - June 2010
Trastuzumab (Herceptin),Neonatal pulmonary hypoplasia,양성,oldformat_reviewed,2010,April,April - June 2010
Azacitidine (Vidaza),Acute febrile neutrophilic dermatosis (Sweet’s syndrome),양성,pure_update,2010,January,January - March 2010
Azithromycin (Zithromax),Liver failure,양성,pure_update,2010,January,January - March 2010
Azithromycin extended release 2 g (Zmax),Pyloric stenosis,양성,pure_update,2010,January,January - March 2010
Berinert),Thromboembolic events in patients with certain thrombogenic risk factors,양성,trunc_verified,2010,January,January - March 2010
C1 esterase inhibitors (Cinryze,Thromboembolic events in patients with certain thrombogenic risk factors,양성,trunc_verified,2010,January,January - March 2010
Clarithromycin (Biaxin),Liver failure,양성,pure_update,2010,January,January - March 2010
Daptomycin (Cubicin),"Pulmonary eosinophilia, Eosinophilic pneumonia",양성,pure_update,2010,January,January - March 2010
Dronedarone hydrochloride (Multaq),Heart failure,양성,pure_update,2010,January,January - March 2010
"Estrogens, conjugated (Premarin)",Angioedema,양성,trunc_verified,2010,January,January - March 2010
Modafinil (Provigil),Convulsion,보류,pending,2010,January,January - March 2010
Prasugrel hydrochloride (Effient),Thrombotic thrombocytopenic purpura,양성,pure_update,2010,January,January - March 2010
Ranolazine (Ranexa),Torsades de Pointes,음성,pure_noaction,2010,January,January - March 2010
Sodium oxybate (Xyrem),Convulsion,음성,mixed_reviewed,2010,January,January - March 2010
Temsirolimus (Torisel),Infusion site extravasation,양성,pure_update,2010,January,January - March 2010
Benzonatate (Tessalon),Death from accidental ingestion in children,양성,pure_update,2010,July,July - September 2010
Dronedarone hydrochloride (Multaq),Drug interaction with warfarin (Increased anticoagulant effect),양성,pure_update,2010,July,July - September 2010
Epoetin alfa (Epogen/Procrit),Possible contamination with glass lamellae,음성,pure_noaction,2010,July,July - September 2010
Gemcitabine hydrochloride (Gemzar),Veno-occlusive liver disease,양성,pure_update,2010,July,July - September 2010
Lanreotide acetate (Somatuline depot),"Pancreatitis, Hemorrhagic and Necrotizing Pancreatitis",양성,pure_update,2010,July,July - September 2010
Lanthanum carbonate (Fosrenol),"Swallowing complications, GI obstruction (attributed to tablet hardness)",양성,pure_update,2010,July,July - September 2010
Levetiracetam (Keppra),"Stevens-Johnson’s Syndrome, Toxic Epidermal Necrolysis",양성,pure_update,2010,July,July - September 2010
Lithium citrate,Brugada Syndrome,양성,pure_update,2010,July,July - September 2010
Lopinavir/Ritonavir oral solution (Kaletra),Serious adverse events in neonates,양성,trunc_verified,2010,July,July - September 2010
"Octagam 5%, Immune Globulin Intravenous (Human)",Thromboembolic adverse events,양성,trunc_verified,2010,July,July - September 2010
Pioglitazone HCl (Actos),Rhabdomyolysis,음성,pure_noaction,2010,July,July - September 2010
Ranolazine (Ranexa),Drug interaction with statins (Rhabdomyolysis),양성,pure_update,2010,July,July - September 2010
Sodium oxybate (Xyrem),Death,양성,mixed_reviewed,2010,July,July - September 2010
Asenapine maleate (Saphris),Hypersensitivity,양성,pure_update,2010,October,October - December 2010
Dronedarone HCl (Multaq),Liver failure,양성,pure_update,2010,October,October - December 2010
Fenofibrate products,Paradoxical decrease in HDL cholesterol,양성,trunc_verified,2010,October,October - December 2010
Golimumab (Simponi),Hypersensitivity reactions and anaphylaxis,양성,pure_update,2010,October,October - December 2010
Ibuprofen lysine (Neoprofen),Serious skin reactions (in pediatric patients),음성,pure_noaction,2010,October,October - December 2010
Morphine sulfate,Withdrawal symptoms (not associated with misuse),음성,pure_noaction,2010,October,October - December 2010
Naltrexone HCl (Embeda),Withdrawal symptoms (not associated with misuse),음성,pure_noaction,2010,October,October - December 2010
Oxycodone HCl controlled-release tablets (Oxycontin) [new formulation],Choking and gastrointestinal obstruction,양성,pure_update,2010,October,October - December 2010
Regadenoson (Lexiscan),QT prolongation,양성,pure_update,2010,October,October - December 2010
Sevelamer HCl (Renagel),Choking (esophageal obstruction),양성,pure_update,2010,October,October - December 2010
Anagrelide HCl (Agrylin) and Aspirin,Drug interaction resulting in hemorrhagic events,양성,pure_update,2011,April,April - June 2011
Asenapine maleate (Saphris),"Oral blistering, Oral ulceration, Oral erosion",양성,pure_update,2011,April,April - June 2011
Bevacizumab (Avastin),Osteonecrosis of jaw,양성,pure_update,2011,April,April - June 2011
Colistimethate sodium for injection,Deaths due to dosing confusion and medication errors,양성,pure_update,2011,April,April - June 2011
Dronedarone HCl (Multaq),Pulmonary toxicity,양성,pure_update,2011,April,April - June 2011
Everolimus (Afinitor,"Acute and chronic pancreatitis, Gallbladder disorder",양성,pure_update,2011,April,April - June 2011
Methotrexate sodium and Proton pump inhibitors,Drug interaction resulting in decreased elimination of methotrexate,양성,trunc_verified,2011,April,April - June 2011
Muscarinic receptor antagonist products,Somnolence,양성,trunc_verified,2011,April,April - June 2011
Sodium ferric gluconate complex (Ferrlecit),Anaphylactic reactions,양성,pure_update,2011,April,April - June 2011
Voriconazole (Vfend),Fluorosis and Periostitis with long-term use,양성,pure_update,2011,April,April - June 2011
Zortress),"Acute and chronic pancreatitis, Gallbladder disorder",양성,pure_update,2011,April,April - June 2011
Adalimumab (Humira),"Hepatic dysfunction, Hepatic failure",양성,pure_update,2011,January,January - March 2011
Azathioprine (Imuran),Acute febrile neutrophilic dermatosis (Sweet’s syndrome),양성,pure_update,2011,January,January - March 2011
Cetuximab (Erbitux),"Corneal infection, Ulcerative keratitis, Skin necrosis",양성,mixed_reviewed,2011,January,January - March 2011
Dabigatran etexilate mesylate (Pradaxa),Labeling for proper storage and handling to preserve potency,양성,trunc_verified,2011,January,January - March 2011
Dronedarone HCl (Multaq),"Renal impairment, Renal failure",양성,pure_update,2011,January,January - March 2011
"Fibrin Sealant (Tisseel VH, Evicel)",Graft failure in ophthalmological procedures and lack of efficacy in neurosurgical procedures for repair of dural tears,음성,pure_noaction,2011,January,January - March 2011
Immune Globulin Subcutaneous (Human) 6% Liquid (Vivaglobin),Thromboembolic adverse events have been reported in association with numerous product lots,보류,oldformat_reviewed,2011,January,January - March 2011
Iron sucrose injection (Venofer),Anaphylactic reactions,양성,pure_update,2011,January,January - March 2011
Malathion (Ovide),Burns and burning sensations,양성,pure_update,2011,January,January - March 2011
Mercaptopurine (Purinethol),Hepatosplenic T-cell lymphoma,양성,pure_update,2011,January,January - March 2011
Prasugrel HCl (Effient),Hypersensitivity reactions,양성,pure_update,2011,January,January - March 2011
Quinolone products,Pseudotumor cerebri,양성,trunc_verified,2011,January,January - March 2011
Rituximab (Rituxan),Hypogammaglobulinemia,양성,pure_update,2011,January,January - March 2011
Ropinirole HCl (Requip),Medication errors resulting from similarities in product name and labeling to Risperidone,양성,pure_update,2011,January,January - March 2011
Adalimumab (Humira)Golimumab (Simponi),Optic neuritis,양성,trunc_verified,2011,July,July - September 2011
Clevidipine butyrate IV emulsion (Cleviprex),Hypoxemia (decreased oxygen saturation),양성,pure_update,2011,July,July - September 2011
Dabigatran etexilate mesylate (Pradaxa),Bleeding events including hemorrhage with fatal outcome,양성,trunc_verified,2011,July,July - September 2011
Diazepam injection,Propylene glycol toxicity,양성,pure_update,2011,July,July - September 2011
Divalproex sodium,"Liver failure, Liver injury, (involving hereditary mitochondrial disorders such as Alpers-Huttenlocher Syndrome (AHS), and other conditions)",양성,trunc_verified,2011,July,July - September 2011
"Methyl salicylate, and Capsaicin",Application site burns,보류,mixed_reviewed,2011,July,July - September 2011
Orlistat (Alli),Kidney stones,음성,mixed_reviewed,2011,July,July - September 2011
Topical analgesic nonprescription monograph products containing Menthol,Application site burns,보류,mixed_reviewed,2011,July,July - September 2011
Tumor Necrosis Factor (TNF) blocking agent products,Sarcoidosis,양성,trunc_verified,2011,July,July - September 2011
Valproate products: Valproic acid,"Liver failure, Liver injury, (involving hereditary mitochondrial disorders such as Alpers-Huttenlocher Syndrome (AHS), and other conditions)",양성,trunc_verified,2011,July,July - September 2011
Valproate sodium,"Liver failure, Liver injury, (involving hereditary mitochondrial disorders such as Alpers-Huttenlocher Syndrome (AHS), and other conditions)",양성,trunc_verified,2011,July,July - September 2011
Regadenoson (Lexiscan),Myocardial infarction and death,양성,pure_update,2013,April,April - June 2013
Topical acne nonprescription monograph products containing benzoyl peroxide and/or salicylic acid,Hypersensitivity and anaphylactic reactions,보류,pending,2013,July,July - September 2013
"Certain kinase inhibitor products with vascular endothelial growth factor (VEGF)-inhibiting properties: Lapatinib (Tykerb), Pazopanib (Votrient), Sorafenib (Nexavar), Sunitinib (Sutent)",Bullous skin conditions including Stevens-Johnson Syndrome (SJS) and Toxic Epidermal Necrolysis (TEN),보류,pending,2013,October,October - December 2013
Certain methylphenidate hydrochloride extended-release tablets (generic products for the trade name Concerta),"Lack of therapeutic effect, possibly related to product quality issues",보류,pending,2013,October,October - December 2013
Everolimus (Zortress),Pulmonary hypertension,보류,pending,2014,April,April - June 2014
Everolimus (Zortress),Pulmonary arterial hypertension,보류,pending,2014,April,April - June 2014
Antidepressant products (except monoamine oxidase inhibitors (MAOIs)),Angle-Closure Glaucoma,보류,pending,2014,January,January - March 2014
Brentuximab vedotin (Adcetris),Hepatotoxicity,보류,pending,2014,January,January - March 2014
Testosterone products,"Potential for drug abuse, misuse, or dependence",보류,pending,2014,January,January - March 2014
Regadenoson (Lexiscan),"Seizures, worsening or recurrence of seizures after use of aminophylline, cerebrovascular accident, and atrial fibrillation/atrial flutter",양성,pure_update,2014,July,July - September 2014
Xenazine (Tetrabenazine),Death,음성,pure_noaction,2014,July,July - September 2014
No new safety information to report at this time,No new safety information to report at this time,보류,oldformat_reviewed,2014,October,October - December 2014
Acetaminophen,Pediatric ingestion errors,양성,oldformat_reviewed,2015,April,April - June 2015
BD E-Z scrub solution,Hypersensitivity/anaphylaxis,양성,pure_update,2015,April,April - June 2015
Bactoshield sponge,Hypersensitivity/anaphylaxis,양성,pure_update,2015,April,April - June 2015
Bloxiverz (neostigmine methylsulfate) injection,Potential product selection errors,양성,pure_update,2015,April,April - June 2015
Brilinta (ticagrelor) tablet,Brand name confusion,양성,trunc_unverified,2015,April,April - June 2015
Brintellix (vortioxetine) tablet,Brand name confusion,양성,trunc_unverified,2015,April,April - June 2015
Calcium carbonate,Milk-alkali syndrome (hypercalcemia),음성,mixed_reviewed,2015,April,April - June 2015
Chloraprep One-Step (with alcohol) solution,Hypersensitivity/anaphylaxis,양성,pure_update,2015,April,April - June 2015
Chlorhexidine gluconate cloth Dyna-Hex 75 antiseptic handwash solution,Hypersensitivity/anaphylaxis,양성,pure_update,2015,April,April - June 2015
"Cholografin meglumine (iodipamide meglumine, 52%) injection",Severe cutaneous adverse reactions including:,양성,trunc_unverified,2015,April,April - June 2015
"Cholografin meglumine (iodipamide meglumine, 52%) injection",Stevens-Johnson Syndrome (SJS),양성,trunc_unverified,2015,April,April - June 2015
"Cholografin meglumine (iodipamide meglumine, 52%) injection",Toxic Epidermal Necrolysis (TEN),양성,trunc_unverified,2015,April,April - June 2015
"Cholografin meglumine (iodipamide meglumine, 52%) injection",Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS),양성,trunc_unverified,2015,April,April - June 2015
"Cholografin meglumine (iodipamide meglumine, 52%) injection",Acute Generalized Exanthematous Pustulosis (AGEP) associated with iodinated contrast media,양성,trunc_unverified,2015,April,April - June 2015
Cimzia (certolizumab pegol) injection,Psychiatric and nervous system disorders,보류,pending,2015,April,April - June 2015
"Conray 30 (iothalamate meglumine, 30%) injection",Severe cutaneous adverse reactions including:,양성,trunc_unverified,2015,April,April - June 2015
"Conray 30 (iothalamate meglumine, 30%) injection",Stevens-Johnson Syndrome (SJS),양성,trunc_unverified,2015,April,April - June 2015
"Conray 30 (iothalamate meglumine, 30%) injection",Toxic Epidermal Necrolysis (TEN),양성,trunc_unverified,2015,April,April - June 2015
"Conray 30 (iothalamate meglumine, 30%) injection",Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS),양성,trunc_unverified,2015,April,April - June 2015
"Conray 30 (iothalamate meglumine, 30%) injection",Acute Generalized Exanthematous Pustulosis (AGEP) associated with iodinated contrast media,양성,trunc_unverified,2015,April,April - June 2015
"Conray 43 (iothalamate meglumine, 43%) injection",Severe cutaneous adverse reactions including:,양성,trunc_unverified,2015,April,April - June 2015
"Conray 43 (iothalamate meglumine, 43%) injection",Stevens-Johnson Syndrome (SJS),양성,trunc_unverified,2015,April,April - June 2015
"Conray 43 (iothalamate meglumine, 43%) injection",Toxic Epidermal Necrolysis (TEN),양성,trunc_unverified,2015,April,April - June 2015
"Conray 43 (iothalamate meglumine, 43%) injection",Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS),양성,trunc_unverified,2015,April,April - June 2015
"Conray 43 (iothalamate meglumine, 43%) injection",Acute Generalized Exanthematous Pustulosis (AGEP) associated with iodinated contrast media,양성,trunc_unverified,2015,April,April - June 2015
Conzip (tramadol HCl) extended-release capsule,Respiratory depression and CYP2D6 ultra-rapid metabolism,양성,trunc_unverified,2015,April,April - June 2015
"Cystografin dilute (diatrizoate meglumine, 18%) injection",Severe cutaneous adverse reactions including:,양성,trunc_unverified,2015,April,April - June 2015
"Cystografin dilute (diatrizoate meglumine, 18%) injection",Stevens-Johnson Syndrome (SJS),양성,trunc_unverified,2015,April,April - June 2015
"Cystografin dilute (diatrizoate meglumine, 18%) injection",Toxic Epidermal Necrolysis (TEN),양성,trunc_unverified,2015,April,April - June 2015
"Cystografin dilute (diatrizoate meglumine, 18%) injection",Drug Reaction with Eosinophilia and Systemic Symptoms (DRESS),양성,trunc_unverified,2015,April,April - June 2015
"Cystografin dilute (diatrizoate meglumine, 18%) injection",Acute Generalized Exanthematous Pustulosis (AGEP) associated with iodinated contrast media,양성,trunc_unverified,2015,April,April - June 2015
Daliresp (roflumilast) tablet,Gynecomastia,양성,pure_update,2015,April,April - June 2015
Daytrana (methylphenidate) patch,Chemical leukoderma,양성,pure_update,2015,April,April - June 2015
Enbrel (etanercept) injection,Psychiatric and nervous system disorders,보류,pending,2015,April,April - June 2015
"Exidine aerosol, metered, topical",Hypersensitivity/anaphylaxis,양성,pure_update,2015,April,April - June 2015
Exidine solution,Hypersensitivity/anaphylaxis,양성,pure_update,2015,April,April - June 2015
Farxiga (dapagliflozin) tablet,Stroke and thromboembolic events,음성,mixed_reviewed,2015,April,April - June 2015
Glyxambi (empagliflozin/linagliptin) tablet,Stroke and thromboembolic events,음성,mixed_reviewed,2015,April,April - June 2015
Hibiclens solution,Hypersensitivity/anaphylaxis,양성,pure_update,2015,April,April - June 2015
Hibistat (with alcohol) solution,Hypersensitivity/anaphylaxis,양성,pure_update,2015,April,April - June 2015
